id,full_name,email,password,role,job_category,specific_role,skills,experience_level,experience_years,location,success_rate_job,jobs_completed,client_rating,rehire_rate,min_budget_idr,hourly_rate_usd,earnings_usd,platform_origin,project_type,is_available,profile_verified,created_at
13,Yance Utami,yance.utami282@konekin.id,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Full Stack Developer,React Developer,"Node.js, Git, MySQL, Redis, TypeScript",Intermediate,3,Medan,60.9,125,2.86,70.4,12254000,82.46,6910.41,PeoplePerHour,Fixed,1,1,2025-03-13 19:03:41
14,"dr. Ratih Nababan, S.Pt",dr..ratih.nababan.s.pt808@outlook.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Full Stack Developer,React Developer,"Vue.js, Node.js, Redis, TypeScript, MySQL",Intermediate,4,Semarang,69.1,34,3.03,47.5,2427000,42.13,1539.09,Upwork,Milestone,1,1,2023-06-25 6:43:51
15,Prasetyo Siregar,prasetyo.siregar824@outlook.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Full Stack Developer,Frontend Developer,"TypeScript, MySQL, React, Docker, Laravel",Intermediate,3,Bekasi,68.9,126,3.47,74.5,12498000,93.5,6738.58,Upwork,Retainer,0,1,2026-04-19 14:19:14
16,"R.A. Zelaya Januar, S.Sos",r.a..zelaya.januar.s.sos111@outlook.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Backend Developer,"Next.js, React, REST API, PostgreSQL, Docker",Intermediate,5,Surabaya,68.7,59,3.02,57.4,11974000,44.6,8533.99,Konekin,Retainer,0,1,2024-03-05 15:37:26
17,"Rafid Utama, S.E.",rafid.utama.s.e.100@gmail.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Full Stack Developer,Full Stack Developer,"Redis, Vue.js, Docker, React, REST API, PostgreSQL, Node.js",Expert,9,Bogor,88.3,332,4.31,53.8,8949000,60.51,6511.17,Fiverr,Milestone,0,1,2024-06-14 16:25:37
18,Mumpuni Santoso,mumpuni.santoso876@yahoo.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,Frontend Developer,"PostgreSQL, Node.js, React",Beginner,2,Denpasar,69.2,9,3.75,54.2,5806000,68.36,8193.91,PeoplePerHour,Fixed,1,1,2025-06-13 1:38:23
19,"Marsudi Hidayanto, M.Ak",marsudi.hidayanto.m.ak129@yahoo.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Full Stack Developer,React Developer,"Git, Laravel, PostgreSQL, Vue.js, TypeScript",Intermediate,5,Semarang,76.2,100,4.35,62.8,6492000,44.64,7931.5,Konekin,Fixed,1,1,2025-03-31 19:52:34
20,H. Dipa Marpaung,h..dipa.marpaung367@gmail.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Full Stack Developer,Frontend Developer,"Redis, React, REST API, Git, MySQL",Intermediate,3,Bekasi,77.4,105,3.79,67.5,1595000,75.63,1229.67,Toptal,Hourly,1,1,2024-09-23 13:51:38
21,Suci Puspita,suci.puspita309@icloud.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,React Developer,"React, MySQL, Git, Vue.js, Redis",Intermediate,4,Balikpapan,70.7,91,3.48,62.6,2010000,73.43,1685.29,PeoplePerHour,Retainer,0,1,2024-01-01 16:57:22
22,Zaenab Hakim,zaenab.hakim544@icloud.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,Vue.js Developer,"TypeScript, Node.js, Docker, REST API, Next.js, Redis, Vue.js",Expert,10,Tangerang,78.1,332,3.59,62.1,10660000,28.58,7303.39,PeoplePerHour,Fixed,1,1,2024-01-12 1:00:56
23,Reksa Sihotang,reksa.sihotang321@konekin.id,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,Node.js Developer,"Redis, MySQL, Vue.js, TypeScript, Laravel",Intermediate,5,Yogyakarta,71.4,117,4.31,60.4,5746000,26.99,7620.53,Freelancer,Retainer,0,1,2024-07-18 15:13:01
24,Danuja Purnawati,danuja.purnawati992@gmail.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Full Stack Developer,Laravel Developer,"React, MySQL, TypeScript, Next.js, Redis",Intermediate,4,Tangerang,70.6,106,3.48,60.8,6159000,31.6,4960.78,Koneksi Pribadi,Fixed,1,1,2025-12-21 7:45:33
25,Gabriella Yolanda,gabriella.yolanda185@gmail.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Vue.js Developer,"Redis, Next.js, Laravel, React, Node.js",Intermediate,4,Bekasi,70,73,3.25,52.2,1422000,69.3,1974.66,Upwork,Hourly,1,1,2024-11-03 2:05:55
26,"Jagapati Megantara, S.T.",jagapati.megantara.s.t.739@outlook.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Full Stack Developer,Next.js Developer,"Laravel, Next.js, React, PostgreSQL, REST API",Intermediate,4,Bekasi,76.1,129,4.18,56,12754000,31.67,8043.41,Freelancer,Retainer,1,1,2023-10-06 1:34:19
27,"Putri Nasyiah, S.T.",putri.nasyiah.s.t.117@icloud.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,React Developer,"Laravel, Redis, Node.js, PostgreSQL, Git",Intermediate,4,Solo,66.1,116,3.41,42.7,6246000,36.54,3329.04,Upwork,Fixed,1,1,2025-08-01 14:06:20
28,Restu Wacana,restu.wacana765@konekin.id,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Full Stack Developer,Next.js Developer,"MySQL, React, Docker, Laravel, Git",Intermediate,4,Bandung,66.6,52,3.58,62.2,3967000,61.9,2686.91,Koneksi Pribadi,Retainer,0,1,2024-06-05 17:11:46
29,Kacung Lailasari,kacung.lailasari415@icloud.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Full Stack Developer,Vue.js Developer,"MySQL, React, Docker, Next.js, Node.js",Intermediate,5,Manado,67.8,81,3.2,63,12410000,66.36,7370.84,Konekin,Milestone,1,1,2023-08-13 16:20:40
30,Satya Kusumo,satya.kusumo227@outlook.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,Backend Developer,"MySQL, Redis, Vue.js, Node.js, React, REST API, Git",Expert,11,Medan,85.9,498,4.47,79.1,3083000,58.25,1735.02,Koneksi Pribadi,Fixed,1,1,2023-10-20 12:59:07
31,Prima Zulaika,prima.zulaika476@konekin.id,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,React Developer,"MySQL, Vue.js, REST API, React, Git",Intermediate,5,Malang,72.5,148,3.3,68.6,16528000,44.24,8889.56,Toptal,Fixed,1,1,2024-08-10 15:19:59
32,Harsana Wibowo,harsana.wibowo76@icloud.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Full Stack Developer,Full Stack Developer,"React, Git, Next.js, TypeScript, Docker, Node.js, PostgreSQL",Expert,10,Bekasi,77.2,336,3.76,62.8,13140000,25.75,7619.91,Koneksi Pribadi,Hourly,1,1,2025-02-16 23:55:09
33,Paris Ramadan,paris.ramadan488@icloud.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Vue.js Developer,"Laravel, Node.js, REST API, Git, Vue.js, TypeScript, Docker",Expert,14,Tangerang,86.7,152,4.42,76.5,12829000,26.32,8855.56,Koneksi Pribadi,Retainer,1,1,2026-04-04 2:23:39
34,"Cut Sabrina Latupono, M.Pd",cut.sabrina.latupono.m.pd68@outlook.com,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Full Stack Developer,React Developer,"Git, Vue.js, MySQL, React, Next.js",Intermediate,4,Depok,57.9,42,2.62,42.8,5306000,83.87,2866.37,Fiverr,Fixed,1,1,2025-08-05 19:43:05
35,"Ir. Ganep Kusumo, S.Pd",ir..ganep.kusumo.s.pd386@icloud.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,Laravel Developer,"Laravel, MySQL, PostgreSQL, Vue.js, Node.js, TypeScript, REST API",Expert,11,Medan,89.6,478,4.07,93.7,1997000,70.28,1566.31,Fiverr,Fixed,1,1,2024-08-24 10:49:04
36,Ade Saptono,ade.saptono520@gmail.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Full Stack Developer,Backend Developer,"Git, Docker, Vue.js, Redis, TypeScript",Intermediate,5,Bekasi,71.7,136,3.56,45.2,8801000,85.73,6227.82,Konekin,Milestone,1,1,2026-04-04 23:41:16
37,"R.M. Jono Kurniawan, S.Pd",r.m..jono.kurniawan.s.pd993@yahoo.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Vue.js Developer,"Node.js, MySQL, Git, REST API, TypeScript",Intermediate,4,Manado,61.7,130,2.76,37.6,4088000,80.65,3337.64,Toptal,Milestone,1,1,2025-11-13 7:17:20
38,Drs. Dalimin Mangunsong,drs..dalimin.mangunsong821@yahoo.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Full Stack Developer,React Developer,"Redis, TypeScript, React, PostgreSQL, Git",Intermediate,5,Bekasi,75.1,47,3.82,57.7,8595000,47.84,4740.84,Toptal,Hourly,0,1,2024-06-18 18:35:30
39,Kayun Nuraini,kayun.nuraini970@gmail.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Node.js Developer,"Node.js, Laravel, MySQL",Beginner,1,Medan,61.8,4,2.52,40.8,2842000,48.96,3866.48,Fiverr,Fixed,1,1,2026-02-05 11:33:18
40,dr. Nurul Budiyanto,dr..nurul.budiyanto778@yahoo.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Laravel Developer,"TypeScript, Git, Redis, Docker, React",Intermediate,5,Solo,76.1,90,3.78,61.2,2446000,39.19,1449.65,Konekin,Fixed,1,1,2023-09-05 15:29:28
41,Yance Samosir,yance.samosir655@konekin.id,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Full Stack Developer,Laravel Developer,"Docker, Laravel, Git",Beginner,2,Tangerang,69.1,34,3.67,53.8,4089000,38.15,5026.08,Fiverr,Fixed,1,0,2024-01-23 10:37:08
42,Tomi Purnawati,tomi.purnawati558@icloud.com,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Full Stack Developer,Frontend Developer,"MySQL, React, Redis",Beginner,1,Palembang,54.2,27,2.77,41.2,6263000,48,3972.43,Fiverr,Fixed,1,1,2026-03-08 15:52:08
43,Opan Laksita,opan.laksita851@yahoo.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Full Stack Developer,Next.js Developer,"Laravel, Node.js, Redis, MySQL, PostgreSQL, REST API, Next.js",Expert,13,Malang,94.1,193,4.66,76.6,7186000,54.33,7164.76,Konekin,Hourly,1,1,2025-10-16 4:51:59
44,"Dr. Pranata Mahendra, S.E.I",dr..pranata.mahendra.s.e.i883@outlook.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Full Stack Developer,Next.js Developer,"Docker, MySQL, Vue.js",Beginner,1,Bogor,52.3,24,2.54,59.6,5206000,50,4383,Koneksi Pribadi,Retainer,1,1,2025-04-27 23:19:35
45,R.M. Eman Nuraini,r.m..eman.nuraini441@gmail.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Full Stack Developer,Node.js Developer,"Docker, Vue.js, REST API, MySQL, Git",Intermediate,5,Tangerang,77,67,3.84,59.8,8668000,42.99,6219.54,Upwork,Fixed,1,1,2025-12-17 0:17:25
46,Gabriella Namaga,gabriella.namaga373@konekin.id,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,Full Stack Developer,"Laravel, Vue.js, React, Node.js, MySQL, Next.js, TypeScript",Expert,14,Medan,87.9,483,4.08,48,3192000,65.57,1970.79,PeoplePerHour,Milestone,1,1,2025-08-10 15:05:41
47,"Farah Saragih, S.Sos",farah.saragih.s.sos455@outlook.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,React Developer,"TypeScript, Docker, Redis",Beginner,1,Malang,46.2,28,2.14,33.8,7524000,21.94,8676.26,PeoplePerHour,Milestone,1,1,2026-04-30 11:23:44
48,"Hardi Farida, M.TI.",hardi.farida.m.ti.205@konekin.id,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Full Stack Developer,React Developer,"Next.js, MySQL, Redis",Beginner,1,Solo,60.9,11,3.24,40,6069000,53.38,8169.17,Koneksi Pribadi,Hourly,1,1,2024-09-11 18:31:54
49,Darmanto Haryanto,darmanto.haryanto230@icloud.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Vue.js Developer,"TypeScript, Vue.js, Git, React, Redis",Intermediate,3,Pekanbaru,86.1,60,4.26,69.5,8804000,47.67,5342.98,Toptal,Milestone,0,1,2024-05-10 12:24:18
50,Drs. Ghaliyati Rahmawati,drs..ghaliyati.rahmawati76@icloud.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Full Stack Developer,Backend Developer,"TypeScript, Next.js, Git",Beginner,1,Tangerang,53.2,23,2.45,34,11107000,45.84,6376.89,Toptal,Fixed,1,0,2024-01-02 8:47:33
51,Nugraha Usamah,nugraha.usamah169@outlook.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Full Stack Developer,Backend Developer,"TypeScript, PostgreSQL, Vue.js, Next.js, React",Intermediate,3,Medan,66.5,74,3.75,64.6,2754000,25.91,3129.2,Fiverr,Retainer,1,1,2023-07-09 13:53:39
52,Utama Firmansyah,utama.firmansyah84@gmail.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,React Developer,"Laravel, REST API, TypeScript, PostgreSQL, Git, Node.js, React",Expert,6,Bekasi,81.9,428,4.13,57.7,3574000,62.91,2528.63,Konekin,Fixed,1,1,2025-12-02 23:44:50
53,Kamidin Prakasa,kamidin.prakasa426@konekin.id,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Full Stack Developer,Frontend Developer,"Vue.js, MySQL, TypeScript",Beginner,2,Palembang,47.9,12,2.46,32.2,12719000,84.56,6820.44,Fiverr,Milestone,1,1,2024-03-06 4:52:08
54,Gabriella Namaga,gabriella.namaga254@konekin.id,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Full Stack Developer,Laravel Developer,"Vue.js, MySQL, Git",Beginner,1,Semarang,66.8,9,4.03,61,14580000,51.36,7886.14,Freelancer,Milestone,0,1,2023-09-28 1:06:58
55,Ir. Nabila Prasasta,ir..nabila.prasasta24@konekin.id,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Vue.js Developer,"Next.js, Redis, REST API, PostgreSQL, Laravel",Intermediate,3,Medan,80.9,60,3.92,66.7,2122000,57.12,1214.43,Upwork,Retainer,0,1,2025-09-11 19:01:52
56,"dr. Dadap Kuswoyo, S.IP",dr..dadap.kuswoyo.s.ip47@outlook.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Vue.js Developer,"TypeScript, PostgreSQL, Git, React, Vue.js",Intermediate,4,Bogor,79.3,36,3.79,60.6,6774000,25.51,5336.43,Koneksi Pribadi,Retainer,1,1,2025-04-27 3:07:41
57,Lintang Zulkarnain,lintang.zulkarnain204@yahoo.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,React Developer,"TypeScript, Vue.js, MySQL, Git, Next.js",Intermediate,5,Palembang,62.6,35,3.11,65.4,6064000,58.95,7392.52,Toptal,Milestone,1,1,2024-09-28 19:09:10
58,"Anastasia Wulandari, S.IP",anastasia.wulandari.s.ip836@konekin.id,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,Laravel Developer,"Redis, Next.js, Laravel, REST API, PostgreSQL, MySQL, TypeScript",Expert,6,Surabaya,88.1,288,4.33,74.7,7453000,43.08,4215.63,Toptal,Milestone,1,1,2023-07-11 11:37:22
59,"Jessica Kurniawan, S.H.",jessica.kurniawan.s.h.645@icloud.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Full Stack Developer,Next.js Developer,"Docker, Node.js, Redis",Beginner,2,Surabaya,62.2,5,3.47,35.8,2746000,53.08,2364.43,PeoplePerHour,Hourly,1,1,2023-12-01 23:58:19
60,drg. Cahyono Anggraini,drg..cahyono.anggraini539@konekin.id,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Full Stack Developer,React Developer,"Redis, Next.js, PostgreSQL, REST API, Node.js",Intermediate,4,Balikpapan,66.5,70,3.65,50.2,7687000,60.97,5171.64,Upwork,Hourly,1,1,2023-11-23 2:54:38
61,Hilda Hutagalung,hilda.hutagalung722@outlook.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,React Developer,"Next.js, TypeScript, Docker, Git, MySQL",Intermediate,3,Surabaya,68.6,91,3.11,41.3,5756000,40.51,7322.32,Upwork,Fixed,1,1,2024-09-02 14:48:27
62,"Drs. Cinthia Hardiansyah, M.Pd",drs..cinthia.hardiansyah.m.pd672@konekin.id,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Full Stack Developer,Laravel Developer,"React, Git, Next.js",Beginner,2,Surabaya,70.2,33,3.64,74.4,2949000,62.15,3023.29,PeoplePerHour,Hourly,1,0,2025-11-07 2:55:33
63,Wira Prakasa,wira.prakasa424@gmail.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Full Stack Developer,"REST API, Redis, Node.js, PostgreSQL, MySQL",Intermediate,4,Bandung,71.2,128,3.42,73.7,12851000,31.85,8818.87,PeoplePerHour,Hourly,1,1,2023-11-04 7:12:15
64,Novi Prabowo,novi.prabowo428@yahoo.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Full Stack Developer,React Developer,"PostgreSQL, Laravel, Next.js, Redis, React",Intermediate,3,Bekasi,87.7,149,5,53.6,7364000,57.15,4055.36,PeoplePerHour,Milestone,1,1,2025-12-08 11:37:40
65,Catur Wibowo,catur.wibowo480@icloud.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Full Stack Developer,Node.js Developer,"PostgreSQL, Git, Node.js, Vue.js, Docker",Intermediate,4,Bandung,73.4,50,3.81,57,7081000,21.06,6692.51,Freelancer,Fixed,1,1,2023-05-08 10:21:18
66,Hani Hasanah,hani.hasanah489@yahoo.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Full Stack Developer,Frontend Developer,"Git, Redis, Laravel, PostgreSQL, MySQL, REST API, React",Expert,11,Bekasi,73.5,227,3.97,59.2,4680000,40.02,4463.23,Upwork,Hourly,0,1,2024-03-13 14:57:11
67,"Uchita Puspita, M.Kom.",uchita.puspita.m.kom.946@icloud.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Full Stack Developer,Next.js Developer,"Vue.js, REST API, Git, MySQL, Docker",Intermediate,5,Balikpapan,73.5,111,3.22,66,4677000,36.43,5839.93,Koneksi Pribadi,Hourly,1,1,2023-10-22 16:24:35
